dimension,nodes,average,iterations
1,128,1.1951,50
1,256,1.2054,50
1,512,1.2086,50
1,1024,1.2157,5
1,2048,1.2290,5
1,4096,1.2066,5
1,8192,1.1994,5
1,16384,1.19984,5
1,32768,1.2020,5
1,65536,1.2045,5
1,131072,1.2036,5
1,262144,1.2048,5
2,128,7.58,50
2,256,10.64,50
2,512,14.99,50
2,1024,21.13,5
2,2048,29.50,5
2,4096,41.89,5
2,8192,58.84,5
2,16384,83.19,5
2,32768,117.43,5
2,65536,166.17,5
2,131072,234.48,5
2,262144,331.65,5
3,128,17.60,50
3,256,27.50,50
3,512,43.18,50
3,1024,68.20,5
3,2048,107.75,5
3,4096,169.33,5
3,8192,267.05,5
3,16384,422.81,5
3,32768,668.36,5
3,65536,1057.93,5
3,131072,1677.09,5
3,262144,2658.80,5
4,128,28.53,50
4,256,47.09,50
4,512,78.19,50
4,1024,129.65,5
4,2048,215.58,5
4,4096,360.60,5
4,8192,602.84,5
4,16384,1008.46,5
4,32768,1687.84,5
4,65536,2828.42,5
4,131072,4740.50,5
4,262144,7952.02,5